Database,Table,Rows,Columns,Column Names
browser_web,Web_client_accelerator,19,5,"id, name, Operating_system, Client, Connection"
browser_web,browser,4,3,"id, name, market_share"
browser_web,accelerator_compatible_browser,9,3,"accelerator_id, browser_id, compatible_since_year"
musical,musical,7,7,"Musical_ID, Name, Year, Award, Category, Nominee, Result"
musical,actor,9,6,"Actor_ID, Name, Musical_ID, Character, Duration, age"
farm,city,5,6,"City_ID, Official_Name, Status, Area_km_2, Population, Census_Ranking"
farm,farm,8,10,"Farm_ID, Year, Total_Horses, Working_Horses, Total_Cattle, Oxen, Bulls, Cows, Pigs, Sheep_and_Goats"
farm,farm_competition,6,5,"Competition_ID, Year, Theme, Host_city_ID, Hosts"
farm,competition_record,12,3,"Competition_ID, Farm_ID, Rank"
voter_1,AREA_CODE_STATE,305,2,"area_code, state"
voter_1,CONTESTANTS,11,2,"contestant_number, contestant_name"
voter_1,VOTES,4,5,"vote_id, phone_number, state, contestant_number, created"
game_injury,stadium,13,6,"id, name, Home_Games, Average_Attendance, Total_Attendance, Capacity_Percentage"
game_injury,game,20,8,"stadium_id, id, Season, Date, Home_team, Away_team, Score, Competition"
game_injury,injury_accident,15,6,"game_id, id, Player, Injury, Number_of_matches, Source"
hospital_1,Physician,9,4,"EmployeeID, Name, Position, SSN"
hospital_1,Department,3,3,"DepartmentID, Name, Head"
hospital_1,Affiliated_With,11,3,"Physician, Department, PrimaryAffiliation"
hospital_1,Procedures,7,3,"Code, Name, Cost"
hospital_1,Trained_In,15,4,"Physician, Treatment, CertificationDate, CertificationExpires"
hospital_1,Patient,4,6,"SSN, Name, Address, Phone, InsuranceID, PCP"
hospital_1,Nurse,3,5,"EmployeeID, Name, Position, Registered, SSN"
hospital_1,Appointment,9,7,"AppointmentID, Patient, PrepNurse, Physician, Start, End, ExaminationRoom"
hospital_1,Medication,5,4,"Code, Name, Brand, Description"
hospital_1,Prescribes,3,6,"Physician, Patient, Medication, Date, Appointment, Dose"
hospital_1,Block,12,2,"BlockFloor, BlockCode"
hospital_1,Room,36,5,"RoomNumber, RoomType, BlockFloor, BlockCode, Unavailable"
hospital_1,On_Call,6,5,"Nurse, BlockFloor, BlockCode, OnCallStart, OnCallEnd"
hospital_1,Stay,3,5,"StayID, Patient, Room, StayStart, StayEnd"
hospital_1,Undergoes,6,6,"Patient, Procedures, Stay, DateUndergoes, Physician, AssistingNurse"
manufacturer,manufacturer,7,5,"Manufacturer_ID, Open_Year, Name, Num_of_Factories, Num_of_Shops"
manufacturer,furniture,7,4,"Furniture_ID, Name, Num_of_Component, Market_Rate"
manufacturer,furniture_manufacte,5,3,"Manufacturer_ID, Furniture_ID, Price_in_Dollar"
station_weather,train,11,7,"id, train_number, name, origin, destination, time, interval"
station_weather,station,11,4,"id, network_name, services, local_authority"
station_weather,route,18,2,"train_id, station_id"
station_weather,weekly_weather,16,6,"station_id, day_of_week, high_temperature, low_temperature, precipitation, wind_speed_mph"
perpetrator,perpetrator,5,8,"Perpetrator_ID, People_ID, Date, Year, Location, Country, Killed, Injured"
perpetrator,people,11,5,"People_ID, Name, Height, Weight, Home Town"
